,SRMSE 1,SRMSE 2,SRMSE 3,SRMSE 4,MACD_C,Diversity,Runtime
Independent,0.2706,0.7265,1.5255,2.9098,0.19,0.929,743.4303
IPF,0.0306,0.2009,0.6134,1.6607,0.053,0.0,198.3948
IPU,0.0064,0.0494,0.1724,0.5037,0.022,0.0,24.8208
SBIPF-GB,0.0115,0.0631,0.196,0.5446,0.022,0.0,1.5207
NBIPF-GB,0.0512,0.1218,0.274,0.6413,0.023,0.0,0.4594
SBIPF-RP,0.0338,0.1134,0.2752,0.6543,0.021,0.0,1.6919
NBIPF-RP,0.0795,0.1992,0.4252,0.8994,0.022,0.0,0.426
BN,0.2715,0.8216,2.2023,5.527,0.205,0.6146,1.1365
BN Copula,0.0041,0.3846,1.5542,4.6799,0.189,0.8447,19.6111
IPF BN,0.0355,0.3593,1.5695,5.167,0.187,0.6249,200.8981
IPU BN,0.0104,0.1542,0.6218,1.9697,0.157,0.5972,27.5184
SBIPF-GB BN,0.0157,0.1018,0.3687,1.1757,0.163,0.6042,3.7364
NBIPF-GB BN,0.0556,0.2583,0.8514,2.4313,0.176,0.6168,2.8901
SBIPF-RP BN,0.0406,0.234,0.7791,2.2668,0.159,0.6082,4.3544
NBIPF-RP BN,0.0791,0.3203,1.0377,3.0458,0.18,0.6262,3.1082
