,SRMSE 1,SRMSE 2,SRMSE 3,SRMSE 4,MACD_C,Diversity,Runtime
Independent,0.2135,0.6955,1.5833,3.1695,0.156,1.0,142.4573
IPU,0.0098,0.0916,0.2811,0.7074,0.023,0.0,67.3255
SBIPF-GB,0.0506,0.1668,0.4212,0.9881,0.034,0.0,0.7032
NBIPF-GB,0.3401,0.7668,1.4895,2.8255,0.04,0.0,0.53
SBIPF-RP,0.0802,0.2061,0.4686,1.0445,0.035,0.0,0.6736
NBIPF-RP,0.7176,1.7001,3.4403,6.722,0.059,0.0,0.4847
BN,0.2108,0.6175,1.531,3.5821,0.138,0.9978,1.4262
BN Copula,0.0092,0.2665,0.9356,2.5779,0.133,0.9997,6.7789
IPU BN,0.0165,0.1716,0.6136,1.7635,0.15,0.9979,69.1339
SBIPF-GB BN,0.0485,0.2134,0.6514,1.751,0.154,0.9974,2.6099
NBIPF-GB BN,0.3398,0.8784,2.0127,4.4738,0.147,0.9953,2.3565
SBIPF-RP BN,0.0736,0.2543,0.7151,1.8465,0.153,0.9976,2.5914
NBIPF-RP BN,0.7119,1.8642,4.3358,9.7546,0.144,0.9892,2.5143
