,SRMSE 1,SRMSE 2,SRMSE 3,SRMSE 4,MACD_C,Diversity,Runtime
Independent,0.2097,0.6742,1.5085,2.9477,0.156,1.0,154.2423
IPU,0.0098,0.1181,0.3562,0.8744,0.022,0.0,78.4382
SBIPF-GB,0.0783,0.2403,0.5787,1.3192,0.031,0.0,0.7295
NBIPF-GB,0.2006,0.502,1.0688,2.2404,0.042,0.0,0.5398
SBIPF-RP,0.0864,0.253,0.5919,1.3113,0.03,0.0,0.7062
NBIPF-RP,0.2957,0.6789,1.3889,2.8545,0.053,0.0,0.4845
BN,0.2052,0.5949,1.4294,3.2239,0.138,0.9995,1.433
BN Copula,0.0123,0.1818,0.6291,1.704,0.134,0.9998,7.1447
IPU BN,0.0187,0.1474,0.4987,1.3648,0.147,0.9978,80.3377
SBIPF-GB BN,0.0818,0.273,0.7294,1.8055,0.135,0.9984,2.6654
NBIPF-GB BN,0.2015,0.5743,1.3992,3.2743,0.153,0.9891,2.5036
SBIPF-RP BN,0.0861,0.2818,0.7461,1.8355,0.147,0.9976,2.797
NBIPF-RP BN,0.292,0.7645,1.7811,4.1223,0.139,0.973,2.5923
