groups,categories_per_group,dependency_level,method,SRMSE 1,AMAE,AKLD,MACD_S,MACD_C,time_taken (s),SRMSE 1_std,AMAE_std,AKLD_std,MACD_S_std,MACD_C_std,time_taken (s)_std
8,6,0.8,Reference,0.27213036830665754,0.6264791666666667,0.6660496703781196,0.0,0.0,,0.023288073476227508,0.05653244418358694,0.09999408902276341,0.0,0.0,
8,6,0.8,IPF,,,,,,,,,,,,
8,6,0.5,Reference,0.26377309934211157,0.6039583333333333,0.6344438150931736,0.0,0.0,,0.00984311035254365,0.02427363777312209,0.04781118206338856,0.0,0.0,
8,6,0.5,IPF,,,,,,,,,,,,
4,6,0.8,Reference,0.31760867153816047,0.7238333333333333,0.9214655188814908,0.0,0.0,,0.0293085221958065,0.05669773453897305,0.18780411505173916,0.0,0.0,
4,6,0.8,IPF,,,,,,,,,,,,
8,6,0.2,Reference,0.25825784431076054,0.58840625,0.5949313262281946,0.0,0.0,,0.005434431011754205,0.00582950022872175,0.025239960975993406,0.0,0.0,
8,6,0.2,IPF,,,,,,,,,,,,
2,6,0.2,Reference,0.2554983460941333,0.5980972222222222,0.5848693648340862,0.0,0.0,,0.006111361133899821,0.008098175091637318,0.026900092763656208,0.0,0.0,
2,6,0.2,IPF,,,,,,,,,,,,
4,6,0.2,Reference,0.27237528211928014,0.6195833333333334,0.6819152283126209,0.0,0.0,,0.014605783378272423,0.030870782437983794,0.08355620425354977,0.0,0.0,
4,6,0.2,IPF,,,,,,,,,,,,
2,6,0.5,Reference,0.3081986843081016,0.6890277777777777,0.8343717843844661,0.0,0.0,,0.032203027883080285,0.0724193077449602,0.15840935523506908,0.0,0.0,
2,6,0.5,IPF,,,,,,,,,,,,
4,6,0.5,Reference,0.2812802431888449,0.6421458333333333,0.7208958122017991,0.0,0.0,,0.01641516873038911,0.03327947906521154,0.10224002966787463,0.0,0.0,
4,6,0.5,IPF,,,,,,,,,,,,
2,6,0.8,Reference,0.3408832369070837,0.7772361111111111,0.9775863395201618,0.0,0.0,,0.02624367798100926,0.0688250137896691,0.16208178173005436,0.0,0.0,
2,6,0.8,IPF,,,,,,,,,,,,
4,2,0.2,Reference,0.18729296875,1.4983437499999999,0.4206206849923276,0.0,0.0,,0.03824902847818151,0.30599222782545205,0.14051053571958705,0.0,0.0,
4,2,0.2,IPF,0.009003906249999995,0.07203124999999996,0.0010001613497524467,0.01082209880482682,0.02170815474754022,2.5684889485128224,0.002486826456917114,0.019894611655336913,0.00039641928884742467,0.00216603965673846,0.0032798783278029093,4.327483868552738
8,2,0.5,Reference,0.18976953125,1.51815625,0.4250259210381694,0.0,0.0,,0.02214525899444369,0.17716207195554953,0.11314025666962214,0.0,0.0,
8,2,0.5,IPF,0.009023437500000004,0.07218750000000003,0.0010106092666609546,0.011468896766431095,0.02129643370289659,0.4585121776908636,0.001896298306075549,0.015170386448604392,0.0003859113234483505,0.0024508503993883133,0.005329719930447291,0.0641666600521644
8,2,0.8,Reference,0.18802734375000002,1.5042187499999997,0.43574441475207015,0.0,0.0,,0.0231929792457884,0.18554383396630744,0.07052918335813173,0.0,0.0,
8,2,0.8,IPF,0.009917968750000002,0.07934375000000002,0.001324636435020284,0.010392382061400945,0.02112282256357719,0.5175887327641249,0.003090707020945676,0.024725656167565408,0.0007716815358256874,0.0015991210926746189,0.002706595225874128,0.06896559232503024
4,2,0.8,Reference,0.19335156250000002,1.5468125000000001,0.4949333394503714,0.0,0.0,,0.05536087441520071,0.4428869953216057,0.32082921702356093,0.0,0.0,
4,2,0.8,IPF,0.007738281249999997,0.061906249999999975,0.0007606226409818713,0.00887517296641225,0.017435219492516307,1.3033477156423032,0.0025375235720887955,0.020300188576710364,0.00040411907728694007,0.0030283413873645262,0.004716368665643598,1.5282102304778764
8,2,0.2,Reference,0.1741328125,1.3930625,0.3947057488980345,0.0,0.0,,0.02230885788143259,0.17847086305146093,0.08182447072475374,0.0,0.0,
8,2,0.2,IPF,0.008992187500000009,0.07193750000000007,0.0010601650133712345,0.010411995677798599,0.019173455736294902,0.44178814021870494,0.002793060713812302,0.022344485710498414,0.0005779383236389909,0.0009885655647159312,0.0015676810370456509,0.0545370216061895
